title,folder_name,url
Charles Solomon (racketeer),Charles_Solomon_(racketeer),https://en.wikipedia.org/w/index.php?title=Charles_Solomon_(racketeer)&oldid=1336047391
Charlestown Gang,Charlestown_Gang,https://en.wikipedia.org/w/index.php?title=Charlestown_Gang&oldid=1298829304
Chechen mafia,Chechen_mafia,https://en.wikipedia.org/w/index.php?title=Chechen_mafia&oldid=1339077177
Cheetham Hill Gang,Cheetham_Hill_Gang,https://en.wikipedia.org/w/index.php?title=Cheetham_Hill_Gang&oldid=1339077188
Chicago Gaylords,Chicago_Gaylords,https://en.wikipedia.org/w/index.php?title=Chicago_Gaylords&oldid=1339077202
Chicago Outfit,Chicago_Outfit,https://en.wikipedia.org/w/index.php?title=Chicago_Outfit&oldid=1344409697
Chicanos Motorcycle Club,Chicanos_Motorcycle_Club,https://en.wikipedia.org/w/index.php?title=Chicanos_Motorcycle_Club&oldid=1231705383
Chijon family,Chijon_family,https://en.wikipedia.org/w/index.php?title=Chijon_family&oldid=1339077220
Chung Ching Yee,Chung_Ching_Yee,https://en.wikipedia.org/w/index.php?title=Chung_Ching_Yee&oldid=1339077226
Clan Abbinante,Clan_Abbinante,https://it.wikipedia.org/w/index.php?title=Clan_Abbinante&oldid=149812072
Clan D'Alessandro,Clan_D'Alessandro,https://it.wikipedia.org/w/index.php?title=Clan_D%27Alessandro&oldid=149869484
Clan Lago,Clan_Lago,https://it.wikipedia.org/w/index.php?title=Clan_Lago&oldid=149861234
Clan Magliulo,Clan_Magliulo,https://it.wikipedia.org/w/index.php?title=Clan_Magliulo&oldid=148690543
Clan Mariano,Clan_Mariano,https://it.wikipedia.org/w/index.php?title=Clan_Mariano&oldid=149861235
Clan Pariante,Clan_Pariante,https://it.wikipedia.org/w/index.php?title=Clan_Pariante&oldid=149861227
Clan Pecoraro-Renna,Clan_Pecoraro-Renna,https://it.wikipedia.org/w/index.php?title=Clan_Pecoraro-Renna&oldid=149861410
Clan Russo dei Quartieri Spagnoli,Clan_Russo_dei_Quartieri_Spagnoli,https://it.wikipedia.org/w/index.php?title=Clan_Russo_dei_Quartieri_Spagnoli&oldid=149861225
Clan Sacco-Bocchetti,Clan_Sacco-Bocchetti,https://it.wikipedia.org/w/index.php?title=Clan_Sacco-Bocchetti&oldid=149861238
Clan Sarno,Clan_Sarno,https://it.wikipedia.org/w/index.php?title=Clan_Sarno&oldid=149812157
Clan del Golfo,Clan_del_Golfo,https://en.wikipedia.org/w/index.php?title=Clan_del_Golfo&oldid=1341122388
Clerkenwell crime syndicate,Clerkenwell_crime_syndicate,https://en.wikipedia.org/w/index.php?title=Clerkenwell_crime_syndicate&oldid=1339077238
Cleveland crime family,Cleveland_crime_family,https://en.wikipedia.org/w/index.php?title=Cleveland_crime_family&oldid=1333374883
Colima Cartel,Colima_Cartel,https://en.wikipedia.org/w/index.php?title=Colima_Cartel&oldid=1339755399
Colombo crime family,Colombo_crime_family,https://en.wikipedia.org/w/index.php?title=Colombo_crime_family&oldid=1343370763
Colorado crime family,Colorado_crime_family,https://en.wikipedia.org/w/index.php?title=Colorado_crime_family&oldid=1345992099
Columbia Point Dawgs,Columbia_Point_Dawgs,https://en.wikipedia.org/w/index.php?title=Columbia_Point_Dawgs&oldid=1339077276
Comanchero Motorcycle Club,Comanchero_Motorcycle_Club,https://en.wikipedia.org/w/index.php?title=Comanchero_Motorcycle_Club&oldid=1312608659
Comando Vermelho,Comando_Vermelho,https://en.wikipedia.org/w/index.php?title=Comando_Vermelho&oldid=1345479469
Combat 18,Combat_18,https://en.wikipedia.org/w/index.php?title=Combat_18&oldid=1340900665
Commisso 'ndrina,Commisso_'ndrina,https://en.wikipedia.org/w/index.php?title=Commisso_%27ndrina&oldid=1340082035
Continentals (gang),Continentals_(gang),https://en.wikipedia.org/w/index.php?title=Continentals_(gang)&oldid=1339077310
Contini clan,Contini_clan,https://en.wikipedia.org/w/index.php?title=Contini_clan&oldid=1339077324
Contras,Contras,https://en.wikipedia.org/w/index.php?title=Contras&oldid=1345477882
